Taxa	 FactorA	FactorB
33-16	2.53133089868455	5.5014639518331
38-11	2.63386049741864	4.65569064409076
4226	1.89069548942694	6.13688274898438
4722	1.8560349699462	7.84185806258472
A188	2.55262921466959	5.4094500601469
A214N	5.4368150776438	-5.81623065447288
A239	2.02994681849115	5.16536002603343
A272	6.37522031147405	6.11920195712218
A441-5	4.92417265372114	5.54754558837105
A554	2.26038899494225	5.52152460973251
A556	1.65939252342917	5.94267270509066
A6	10.227152756599	5.2176136275256
A619	-2.7456625884271	7.64789634542252
A632	4.99629143365991	-8.56140060936693
A634	5.26398741268959	-7.58888533745878
A635	4.71679951668989	-7.66097851846396
A641	3.11313694927368	-3.69105857505967
A654	2.03905576978878	4.46838198880911
A659	2.29072652169939	5.79683033109014
A661	2.48064096205596	6.22802669185425
A679	11.606350087657	11.1697664057495
A680	13.1170377330696	11.3080831999844
A682	0.772453687766297	5.07425022001441
AB28A	3.72397923683114	5.56452509327402
B10	4.32816191376561	1.32399742962095
B103	2.470297493413	3.62836258424713
B104	7.355006597109	5.66645813302946
B105	4.82135812234629	5.48768382634299
B109	11.6818669421294	9.60658939922496
B115	2.53377818645323	5.04632038613211
B14A	5.52199378957674	-9.67304752534079
B164	3.23271901597291	5.35883224451642
B2	2.95203935613435	4.06932897353162
B37	5.00663313846442	7.79461955275544
B46	1.53889506985076	3.1256203265481
B52	2.55671928097633	4.99800552923555
B57	3.38615575952439	5.85730228818041
B64	5.56721482806159	-7.35564543370938
B68	5.07134834243922	-8.69295117331762
B73	14.0124482107751	11.7386926666364
B73HTRHM	13.6840029871393	11.4467709604054
B75	1.76522308107546	5.44154762145184
B76	4.81242630285198	7.83124099427339
B77	3.29525142203211	4.23252147552995
B79	2.8826465760047	2.95620457526102
B84	7.3753743583281	5.3286324739814
B97	1.22038566574408	4.19263072190613
C103	-1.01041487113684	6.93646935779611
C123	0.0360406640197839	6.37555520071915
C49A	2.63236994078617	4.57372380592141
CH701-30	2.45784828116545	4.85875846599589
CH9	3.03496087256039	4.95257215737392
CI7	2.31320801903856	5.81232202332163
CI187-2	3.79372026745196	5.51387455997212
CI21E	4.79668818286169	4.97038588716483
CI28A	4.14517994889251	4.40000290560413
CI31A	2.81073779305541	6.28079598980349
CI3A	3.27994896732112	3.70513231365809
CI64	3.849828671943	5.24413375174729
CI66	4.07257665567486	5.48741610120916
CI90C	2.66657769763354	7.00334577370651
CI91B	3.67166580377295	5.40034665746848
CM105	4.93099504099021	-4.93376062570331
CM174	3.85668159102619	-6.01461223214584
CM37	0.576050375461082	4.43043158594858
CM7	1.5669840000841	5.30272778709954
CML10	8.70417391899421	5.59537901685646
CML103	8.09117282896766	4.91050013766313
CML108	9.14479413589501	4.41765357538236
CML11	9.75755042626058	5.17048382507822
CML14	9.47813019114603	4.60687536762847
CML154Q	8.89014166939114	4.36354796516838
CML157Q	8.67263968554375	3.8119812964077
CML158Q	9.14729819815324	4.88974688964938
CML218	8.60758658272695	4.55794942743814
CML220	8.87936149811422	4.20437369054514
CML228	8.9651066893967	5.4999165308165
CML238	9.90835626889844	5.19297063956398
CML247	8.02280791090378	5.56673495116937
CML254	9.63998649825986	4.11905529196287
CML258	9.42033650072668	5.27060272923486
CML261	9.24993518281813	4.6831776286906
CML264	9.31843354638688	3.33333014678493
CML277	9.3752488038533	4.02301508642593
CML281	7.85090488497187	3.61114659202135
CML287	9.10165314249348	3.53958477525268
CML311	8.83032937442294	3.89418336619699
CML314	9.65898659747458	2.98052021437466
CML321	9.51877405430639	5.45745257313271
CML322	9.44417293424405	3.20974813716181
CML323	6.89488222515627	5.59949412064001
CML328	6.67398076034246	4.47977634644703
CML331	10.3640263398603	3.05115588447658
CML332	10.0242464998047	3.83597219388118
CML333	8.04844002513721	4.14281785757449
CML341	9.39274846067144	5.21947562656533
CML38	8.64467992234923	3.40140990053143
CML45	8.91918089476386	4.43554796044727
CML5	9.0201235628492	3.54601898547487
CML52	9.25387482562922	5.49429002883166
CML61	8.7839183357286	4.24364433849006
CML69	9.70205532165677	4.5374044878123
CML77	8.1310052810793	3.53000524640094
CML91	7.62447015144008	4.53177702558937
CML92	7.80013495816978	2.88042597115305
CMV3	2.37622721205732	3.76824719099164
CO106	2.42177011073898	4.62702633664832
CO125	2.03767947140914	5.2288377159555
CO255	2.58627073844012	6.46790436526294
D940Y	3.61707080111695	5.55154249200436
DE2	1.84116923680945	5.15043679298188
DE3	3.11122531121219	5.42515221165146
DE1	2.06888803836648	5.29183278857656
DE811	4.17985322797352	-1.8216448708979
E2558W	4.24000417750847	4.96376443795276
EP1	3.4996939329211	5.41993916380952
F2834T	7.8829598030728	4.86605097952655
F44	5.56097726779685	5.24879708340977
F6	2.85893854074427	6.2995149588726
F7	1.3819281248083	5.42079245458167
GA209	2.86208580139246	6.1247792975234
GT112	3.79801037968858	6.56324716556172
H105W	4.77447660900966	-5.63005890271702
H49	2.46909145154172	5.67591224388373
H84	4.79145327406141	6.25851025098302
H91	5.32818742262753	-8.78962874667809
H95	0.0566927444936907	7.4358124290771
H99	2.16964591311662	6.53420557574887
HI27	8.1843167885949	0.147052173036301
HP301	1.40915604835428	8.87140775995779
HY	4.44584199520311	5.89185225508687
I137TN	5.48293982923678	5.34064252209435
I205	3.51631105068754	4.76841447573205
I29	3.572103467907	5.95434407781344
IA2132	-0.724868790355193	7.0070720236139
IA5125	0.186187073413831	6.01421331631791
IDS28	2.35076998184859	6.70070751883992
IDS69	1.50488957004531	9.27185886240023
IDS91	1.65143395783612	9.21713675268766
IL101	-1.74548782954247	6.13189509102881
IL14H	-2.01168201626688	6.84373510461874
IL677A	-0.976355218920832	6.6407814354602
K148	3.12234368819232	5.31248645534772
K4	3.57485841368592	5.77446844806276
K55	3.7594440038511	4.78750376915948
K64	2.68167818559076	5.65103766130357
KI11	8.47337244849213	4.45774908854972
KI14	8.45460098924869	4.9984791057354
KI2021	8.08461799424362	5.09108803386447
KI21	6.04438373798895	4.80514283587322
KI3	9.76958083256214	5.15371605811496
KI43	7.41207818820825	5.1587190896718
KI44	8.30285343548622	5.32070416310591
KY21	3.8747865844328	4.22420881754382
KY226	5.0173335352307	5.82866226808938
KY228	2.889141787748	4.41493530830994
L317	2.12325740236284	4.81459010210999
L578	5.25154096951039	5.8606151393174
M14	1.50326581920037	5.64164047684174
M162W	4.01882701341142	5.30835179622219
M37W	5.5644902221234	4.12014927417808
MEF156-55-2	-0.551711927484646	6.76447208500416
MO17	0.52252233423623	5.9912868203404
MO18W	6.84893740061519	3.95213016252655
MO1W	2.57713359166328	4.77935611738248
MO24W	4.71795806421253	6.4250698328338
MO44	2.08508975832021	4.60254668011148
MO45	3.64854490124296	4.82359117254755
MO46	4.17108468910805	2.89215190557093
MO47	3.86267598136982	5.43154025407576
MOG	3.80219038555748	4.29792398102794
MP339	4.84490950473574	4.32568397408108
MS1334	2.70407762555949	4.76343670292922
MS153	0.686934439660663	5.4918665428129
MS71	0.887667985118608	5.03020264560695
MT42	2.07821004659225	4.93386203020245
N192	8.81537671069217	5.54663305780422
N28HT	4.56344981890379	4.00418912148544
N6	2.83053808913563	4.94088451511289
N7A	3.21033174187057	2.19645855831848
NC222	4.02264512577579	5.53939316780646
NC230	3.92857930721718	4.49574378956342
NC232	3.56939643043677	4.90210579260846
NC236	2.01447365715934	4.02304834064516
NC238	3.38005003555816	6.62222346278547
NC250	5.89104518206075	8.19266005972726
NC258	-0.355150027143868	6.56294721403175
NC260	2.15227970855326	4.73607274590396
NC262	-0.0710131014418138	6.5046507888282
NC264	5.65846172128787	4.8064755951286
NC290A	-0.38586526864778	6.67677432874146
NC294	10.5725438669374	11.4682538164178
NC296	14.2032237079437	4.66478301684907
NC296A	14.114248285554	4.69018478906491
NC298	13.559991159453	4.24021539203804
NC300	10.9931628974198	5.30091553790318
NC302	12.4059720232281	4.94293884078816
NC304	12.0687244230703	4.60936214524289
NC306	11.1932330496514	11.5267998135443
NC310	12.6581584803154	10.2926855928503
NC314	9.77035160293813	9.95581256986397
NC318	5.27618439545406	5.12791961024998
NC320	5.45236578847503	4.85804905666983
NC324	9.89426374302809	10.3869747605425
NC326	13.1137709813518	11.0819724441458
NC328	13.3253982211386	11.3711802126118
NC33	3.52492804922016	5.71987868002676
NC336	13.9578750142027	4.30124224549992
NC338	11.8239826757414	4.46875594210127
NC340	11.1413850041412	4.9699900466978
NC342	3.11143998235847	6.79827380860888
NC344	-0.383990305810776	6.61648099829625
NC346	13.50994299037	4.70012250896591
NC348	13.3634738355045	4.79140288890025
NC350	11.7706393593772	4.36347924581247
NC352	13.8108968127165	4.1946690363671
NC354	12.8011365508921	4.94850734625606
NC356	9.42631417656145	3.94941328755291
NC358	10.2743955232936	4.12986935563172
NC360	4.84076084733557	5.61961881415334
NC362	2.71488826909279	5.9084554958131
NC364	2.63981986293188	5.89360835239036
NC366	5.58167740005952	6.45465683260857
NC368	10.4336021479671	9.96098405911999
ND246	2.07983552883822	5.25447620507243
OH40B	-2.03829485314318	7.36715752203729
OH43	-3.01240518774083	8.27534109833991
OH43E	-2.41214063099322	8.66137231019304
OH603	3.27367702067631	5.98945488091789
OH7B	2.41992678920129	2.20069870755542
OS420	1.13033137722817	5.97572633638705
P39	-3.05670633767705	6.79973658368603
PA762	-2.69316802009146	8.10493041327765
PA875	3.63496937938467	5.97282418533915
PA880	2.72375051809191	6.34233779237135
PA91	-0.251217000801707	6.11476043274089
R109B	3.84579523175346	5.49183514106462
R168	0.834839534707073	4.96748800301645
R177	0.518775098411172	5.69351239389071
R229	13.5142871191784	10.5330209828151
R4	2.48016710739272	4.74068561848102
SA24	2.06764049786422	8.40804821492977
SC213R	4.34509960962844	6.5031627254581
SC357	4.24055789703553	5.65208180612846
SC55	3.79167607319652	5.9824012739339
